"CityTown","StateTerritory","lat","lon","locality","state","county","Location"
"(East) Chicago","IL","41.639202","-87.454763","East Chicago","IN","Lake County","(East) Chicago, IL"
"(national)",NA,"36.804544","-97.28087","Blackwell","OK","Kay County","(national), NA"
"(template)",NA,NA,NA,NA,NA,NA,"(template), NA"
"24 Ohio counties","OH","40.417287","-82.907123",NA,"OH",NA,"24 Ohio counties, OH"
"4S Ranch","CA","33.016736","-117.111511","San Diego","CA","San Diego County","4S Ranch, CA"
"Abbeville","LA","29.97465","-92.134292","Abbeville","LA","Vermilion Parish","Abbeville, LA"
"Abbeville","MS","34.503159","-89.503137","Abbeville","MS","Lafayette County","Abbeville, MS"
"Abeline","TX","32.448736","-99.733144","Abilene","TX","Taylor County","Abeline, TX"
"Aberdeen","MD","39.509556","-76.16412","Aberdeen","MD","Harford County","Aberdeen, MD"
"Aberdeen","NC","35.131547","-79.429479","Aberdeen","NC","Moore County","Aberdeen, NC"
"Aberdeen","SD","45.464698","-98.486483","Aberdeen","SD","Brown County","Aberdeen, SD"
"Aberdeen","WA","46.975371","-123.815722","Aberdeen","WA","Grays Harbor County","Aberdeen, WA"
"Abilene",NA,"32.448736","-99.733144","Abilene","TX","Taylor County","Abilene, NA"
"Abilene","TX","32.448736","-99.733144","Abilene","TX","Taylor County","Abilene, TX"
"Abingdon","VA","36.709833","-81.977348","Abingdon","VA","Washington County","Abingdon, VA"
"Abington","PA","40.12408","-75.119511",NA,"PA","Montgomery County","Abington, PA"
"Abita Springs","LA","30.478526","-90.037576","Abita Springs","LA","St. Tammany Parish","Abita Springs, LA"
"Accident","MD","39.628696","-79.319759","Accident","MD","Garrett County","Accident, MD"
"Accomac","VA","37.719574","-75.665484","Accomac","VA","Accomack County","Accomac, VA"
"Accord","NY","41.785649","-74.229037","Accord","NY","Ulster County","Accord, NY"
"Acton","MA","42.485093","-71.43284","Acton","MA","Middlesex County","Acton, MA"
"Ada","OH","40.769497","-83.822715","Ada","OH","Hardin County","Ada, OH"
"Ada","OK","34.774531","-96.678345","Ada","OK","Pontotoc County","Ada, OK"
"Adak","AK","51.88","-176.658056","Adak","AK","Aleutians West","Adak, AK"
"Adamant","VT","44.330628","-72.503146","Calais","VT","Washington County","Adamant, VT"
"Adams","WI","43.956082","-89.818182","Adams","WI","Adams County","Adams, WI"
"Adelanto","CA","34.58277","-117.409215","Adelanto","CA","San Bernardino County","Adelanto, CA"
"Adelup","GU",NA,NA,NA,NA,NA,"Adelup, GU"
"Adrian","MI","41.897547","-84.037166","Adrian","MI","Lenawee County","Adrian, MI"
"Adrian",NA,"40.753159","-73.98936","New York","NY","New York County","Adrian, NA"
"Agoura Hills","CA","34.15334","-118.761676","Agoura Hills","CA","Los Angeles County","Agoura Hills, CA"
"Agua Dulce","CA","34.496382","-118.325635","Agua Dulce","CA","Los Angeles County","Agua Dulce, CA"
"Aiken","GA","33.560417","-81.719553","Aiken","SC","Aiken County","Aiken, GA"
"Aiken","OH","33.560417","-81.719553","Aiken","SC","Aiken County","Aiken, OH"
"Aiken","SC","33.560417","-81.719553","Aiken","SC","Aiken County","Aiken, SC"
"Ainsworth","IA","41.287521","-91.55155","Ainsworth","IA","Washington County","Ainsworth, IA"
"Aitkin","MN","46.533013","-93.710249","Aitkin","MN","Aitkin County","Aitkin, MN"
"Ajo","AZ","32.371725","-112.86071","Ajo","AZ","Pima County","Ajo, AZ"
"Akron","OH","41.081445","-81.519005","Akron","OH","Summit County","Akron, OH"
"Alachua","FL","29.793814","-82.494423","Alachua","FL","Alachua County","Alachua, FL"
"Alamagordo","NM","32.899532","-105.960265","Alamogordo","NM","Otero County","Alamagordo, NM"
"Alameda","CA","37.779872","-122.282186","Alameda","CA","Alameda County","Alameda, CA"
"Alamo Heights","TX","29.484953","-98.46585","Alamo Heights","TX","Bexar County","Alamo Heights, TX"
"Alamo","CA","37.850203","-122.032184","Alamo","CA","Contra Costa County","Alamo, CA"
"Alamo","TX","26.183685","-98.123064","Alamo","TX","Hidalgo County","Alamo, TX"
"Alamogordo","NM","32.899532","-105.960265","Alamogordo","NM","Otero County","Alamogordo, NM"
"Alamosa","CO","37.469449","-105.870021","Alamosa","CO","Alamosa County","Alamosa, CO"
"Albany","CA","37.886704","-122.297756","Albany","CA","Alameda County","Albany, CA"
"Albany","GA","31.578507","-84.155741","Albany","GA","Dougherty County","Albany, GA"
"Albany","NY","42.652579","-73.756232","Albany","NY","Albany County","Albany, NY"
"Albany","OR","44.636511","-123.105928","Albany","OR","Linn County","Albany, OR"
"Albany","WY","41.18414","-106.131957","Albany","WY","Albany County","Albany, WY"
"Albemarle","NC","35.350143","-80.200058","Albemarle","NC","Stanly County","Albemarle, NC"
"Albert Lea","MN","43.647801","-93.368656","Albert Lea","MN","Freeborn County","Albert Lea, MN"
"Albertson","NY","40.773434","-73.643184","Albertson","NY","Nassau County","Albertson, NY"
"Albertville","AL","34.267594","-86.208867","Albertville","AL","Marshall County","Albertville, AL"
"Albion","MI","42.243097","-84.75303","Albion","MI","Calhoun County","Albion, MI"
"Albright","PA","41.014532","-75.601022","Albrightsville","PA","Carbon County","Albright, PA"
"Albuqeurque","NM","35.084386","-106.650422","Albuquerque","NM","Bernalillo County","Albuqeurque, NM"
"Albuquerque","NM","35.084386","-106.650422","Albuquerque","NM","Bernalillo County","Albuquerque, NM"
"Alburquerque","NM","35.084386","-106.650422","Albuquerque","NM","Bernalillo County","Alburquerque, NM"
"Alcoa","TN","35.789527","-83.973793","Alcoa","TN","Blount County","Alcoa, TN"
"Aledo","TX","32.695964","-97.602247","Aledo","TX","Parker County","Aledo, TX"
"Alexandria","IN","40.262818","-85.675809","Alexandria","IN","Madison County","Alexandria, IN"
